"TIME","GEO","UNIT","SEX","AGE","ICD10","Value","Flag54and54Footnotes"
"2002","France","Number","Females","Total","Falls","254790",""
"2002","France","Number","Females","Total","Accidental54poisoning54by54and54exposure54to54noxious54substances","458",""
"2002","France","Number","Females","Total","Intentional54self-harm","254945",""
"2002","France","Number","Females","Total","Assault","211",""
"2002","France","Number","Females","Total","Event54of54undetermined54intent","232",""
"2003","France","Number","Males","Total","All54causes54of54death54(A00-Y89)54excluding54S00-T98","28454729",""
"2003","France","Number","Males","Total","Certain54infectious54and54parasitic54diseases54(A00-B99)","554616",""
"2003","France","Number","Males","Total","Tuberculosis","518",""
"2003","France","Number","Males","Total","Meningococcal54infection","26",""
"2003","France","Number","Males","Total","Viral54hepatitis","406",""
"2003","France","Number","Males","Total","Human54immunodeficiency54virus54[HIV]54disease","794",""
"2003","France","Number","Males","Total","Neoplasms","9254631",""
"2003","France","Number","Males","Total","Malignant54neoplasms54(C00-C97)","89397",""
"2003","France","Number","Males","Total","Malignant54neoplasm54of54lip,54oral54cavity,54pharynx","3635",""
"2003","France","Number","Males","Total","Malignant54neoplasm54of54oesophagus","3401",""
"2003","France","Number","Males","Total","Malignant54neoplasm54of54stomach","354174",""
"2003","France","Number","Males","Total","Malignant54neoplasm54of54colon","654314",""
"2003","France","Number","Males","Total","Malignant54neoplasm54of54rectosigmoid54junction,54rectum,54anus54and54anal54canal","254325",""
"2003","France","Number","Males","Total","Malignant54neoplasm54of54liver54and54intrahepatic54bile54ducts","5321",""
"2003","France","Number","Males","Total","Malignant54neoplasm54of54pancreas","3946",""
"2003","France","Number","Males","Total","Malignant54neoplasm54of54larynx,5454trachea,54bronchus54and54lung","2254700",""
"2003","France","Number","Males","Total","Malignant54melanoma54of54skin","764",""
"2003","France","Number","Males","Total","Malignant54neoplasm54of54breast","188",""
"2003","France","Number","Males","Total","Malignant54neoplasm54of54cervix54uteri",":",""
"2003","France","Number","Males","Total","Malignant54neoplasm54of54other54parts54of54uterus",":",""
"2003","France","Number","Males","Total","Malignant54neoplasm54of54ovary",":",""
"2003","France","Number","Males","Total","Malignant54neoplasm54of54prostate","954695",""
"2003","France","Number","Males","Total","Malignant54neoplasm54of54kidney,54except54renal54pelvis","254001",""
"2003","France","Number","Males","Total","Malignant54neoplasm54of54bladder","3490",""
"2003","France","Number","Males","Total","Malignant54neoplasms,54stated54or54presumed54to54be54primary,54of54lymphoid,54haematopoietic54and54related54tissue","654797",""
"2003","France","Number","Males","Total","Diseases54of54the54blood54and54blood-forming54organs54and54certain54disorders54involving54the54immune54mechanism","976",""
"2003","France","Number","Males","Total","Endocrine,54nutritional54and54metabolic54diseases54(E00-E90)","9403",""
"2003","France","Number","Males","Total","Diabetes54mellitus","554611",""
"2003","France","Number","Males","Total","Mental54and54behavioural54disorders54(F00-F99)","7841",""
"2003","France","Number","Males","Total","Mental54and54behavioural54disorders54due54to54use54of54alcohol","2552",""
"2003","France","Number","Males","Total","Drug54dependence,54toxicomania54(F11-F16,54F18-F19)","120",""
"2003","France","Number","Males","Total","Diseases54of54the54nervous54system54and54the54sense54organs54(G00-H95)","1054897",""
"2003","France","Number","Males","Total","Meningitis","82",""
"2003","France","Number","Males","Total","Diseases54of54the54circulatory54system54(I00-I99)","7554040",""
"2003","France","Number","Males","Total","Ischaemic54heart54diseases","2454213",""
"2003","France","Number","Males","Total","Other54heart54diseases54(I30-I33,54I39-I52)","2054036",""
"2003","France","Number","Males","Total","Cerebrovascular54diseases","16120",""
"2003","France","Number","Males","Total","Diseases54of54the54respiratory54system54(J00-J99)","1854939",""
"2003","France","Number","Males","Total","Influenza","192",""
"2003","France","Number","Males","Total","Pneumonia","5514",""
"2003","France","Number","Males","Total","Chronic54lower54respiratory54diseases","6108",""
"2003","France","Number","Males","Total","Asthma54and54status54asthmaticus","516",""
"2003","France","Number","Males","Total","Diseases54of54the54digestive54system54(K00-K93)","13453",""
"2003","France","Number","Males","Total","Ulcer54of54stomach,54duodenum54and54jejunum","501",""
"2003","France","Number","Males","Total","Chronic54liver54disease","6122",""
"2003","France","Number","Males","Total","Diseases54of54the54skin54and54subcutaneous54tissue54(L00-L99)","613",""
"2003","France","Number","Males","Total","Diseases54of54the54musculoskeletal54system54and54connective54tissue54(M00-M99)","1288",""
"2003","France","Number","Males","Total","Rheumatoid54arthritis54and54arthrosis54(M05-M06,M15-M19)","155",""
"2003","France","Number","Males","Total","Diseases54of54the54genitourinary54system5454(N00-N99)","454121",""
"2003","France","Number","Males","Total","Diseases54of54kidney54and54ureter","354139",""
"2003","France","Number","Males","Total","Pregnancy,54childbirth54and54the54puerperium54(O00-O99)",":",""
"2003","France","Number","Males","Total","Certain54conditions54originating54in54the54perinatal54period54(P00-P96)","910",""
"2003","France","Number","Males","Total","Congenital54malformations,54deformations54and54chromosomal54abnormalities54(Q00-Q99)","858",""
"2003","France","Number","Males","Total","Congenital54malformations54of54the54nervous54system","77",""
"2003","France","Number","Males","Total","Congenital54malformations54of54the54circulatory54system","341",""
"2003","France","Number","Males","Total","Symptoms,54signs54and54abnormal54clinical54and54laboratory54findings,54not54elsewhere54classified54(R00-R99)","1754010",""
"2003","France","Number","Males","Total","Sudden54infant54death54syndrome","173",""
"2003","France","Number","Males","Total","Ill-defined54and54unknown54causes54of54mortality","754523",""
"2003","France","Number","Males","Total","External54causes54of54morbidity54and54mortality54(V01-Y89)","25133",""
"2003","France","Number","Males","Total","Accidents","15299",""
"2003","France","Number","Males","Total","Transport54accidents54(V01-V99)","454811",""
"2003","France","Number","Males","Total","Falls","254788",""
"2003","France","Number","Males","Total","Accidental54poisoning54by54and54exposure54to54noxious54substances","513",""
"2003","France","Number","Males","Total","Intentional54self-harm","854187",""
"2003","France","Number","Males","Total","Assault","306",""
"2003","France","Number","Males","Total","Event54of54undetermined54intent","506",""
"2003","France","Number","Females","Total","All54causes54of54death54(A00-Y89)54excluding54S00-T98","277858",""
"2003","France","Number","Females","Total","Certain54infectious54and54parasitic54diseases54(A00-B99)","554781",""
"2003","France","Number","Females","Total","Tuberculosis","441",""
"2003","France","Number","Females","Total","Meningococcal54infection","18",""
"2003","France","Number","Females","Total","Viral54hepatitis","329",""
"2003","France","Number","Females","Total","Human54immunodeficiency54virus54[HIV]54disease","250",""
